plan_id,symbol,structure,qty,regime,opened_at,closed_at,close_reason,realized_pnl_usd
SPY-2026-01-10,SPY,debit_put_spread,9,downtrend,2026-06-13T03:55:37.088900+00:00,2026-06-13T03:55:37.089290+00:00,INVALIDATION,-876.72
QQQ-2026-01-10,QQQ,debit_call_spread,8,trend,2026-06-13T03:55:37.089197+00:00,2026-06-13T03:55:37.096769+00:00,END_OF_TEST,2168.65
SPY-2026-01-15,SPY,debit_call_spread,8,trend,2026-06-13T03:55:37.089406+00:00,2026-06-13T03:55:37.089730+00:00,INVALIDATION,-942.75
QQQ-2026-01-15,QQQ,debit_call_spread,11,trend,2026-06-13T03:55:37.089451+00:00,2026-06-13T03:55:37.090040+00:00,TAKE_PROFIT,3153.15
QQQ-2026-01-20,QQQ,debit_call_spread,11,trend,2026-06-13T03:55:37.089642+00:00,2026-06-13T03:55:37.091428+00:00,TAKE_PROFIT,3621.90
SPY-2026-01-25,SPY,debit_put_spread,19,downtrend,2026-06-13T03:55:37.089860+00:00,2026-06-13T03:55:37.090253+00:00,INVALIDATION,-1202.42
QQQ-2026-01-25,QQQ,debit_call_spread,8,trend,2026-06-13T03:55:37.089899+00:00,2026-06-13T03:55:37.091683+00:00,STOP,-1896.92
SPY-2026-01-30,SPY,debit_call_spread,18,trend,2026-06-13T03:55:37.090145+00:00,2026-06-13T03:55:37.091496+00:00,STOP,-1732.56
SPY-2026-02-04,SPY,debit_call_spread,8,trend,2026-06-13T03:55:37.090391+00:00,2026-06-13T03:55:37.090536+00:00,INVALIDATION,-578.81
SPY-2026-02-09,SPY,debit_put_spread,13,downtrend,2026-06-13T03:55:37.090687+00:00,2026-06-13T03:55:37.091688+00:00,TAKE_PROFIT,3120.08
SPY-2026-02-24,SPY,debit_put_spread,14,downtrend,2026-06-13T03:55:37.091601+00:00,2026-06-13T03:55:37.091903+00:00,INVALIDATION,-1327.11
SPY-2026-03-01,SPY,debit_call_spread,9,trend,2026-06-13T03:55:37.091808+00:00,2026-06-13T03:55:37.092501+00:00,INVALIDATION,-1049.76
QQQ-2026-03-01,QQQ,debit_put_spread,8,downtrend,2026-06-13T03:55:37.091847+00:00,2026-06-13T03:55:37.092186+00:00,INVALIDATION,-635.03
SPY-2026-03-06,SPY,debit_call_spread,16,trend,2026-06-13T03:55:37.092046+00:00,2026-06-13T03:55:37.092220+00:00,INVALIDATION,-918.59
QQQ-2026-03-06,QQQ,debit_call_spread,10,trend,2026-06-13T03:55:37.092084+00:00,2026-06-13T03:55:37.092834+00:00,TAKE_PROFIT,2925.41
SPY-2026-03-11,SPY,debit_put_spread,12,downtrend,2026-06-13T03:55:37.092318+00:00,2026-06-13T03:55:37.093019+00:00,TAKE_PROFIT,3263.82
QQQ-2026-03-11,QQQ,debit_call_spread,9,trend,2026-06-13T03:55:37.092396+00:00,2026-06-13T03:55:37.096774+00:00,END_OF_TEST,2653.97
SPY-2026-03-16,SPY,debit_put_spread,22,downtrend,2026-06-13T03:55:37.092644+00:00,2026-06-13T03:55:37.092747+00:00,INVALIDATION,-1068.68
SPY-2026-03-21,SPY,debit_put_spread,13,downtrend,2026-06-13T03:55:37.092914+00:00,2026-06-13T03:55:37.094565+00:00,INVALIDATION,-1298.83
QQQ-2026-03-21,QQQ,debit_call_spread,8,trend,2026-06-13T03:55:37.092952+00:00,2026-06-13T03:55:37.093028+00:00,INVALIDATION,-963.36
SPY-2026-03-26,SPY,debit_call_spread,11,trend,2026-06-13T03:55:37.094168+00:00,2026-06-13T03:55:37.095815+00:00,TAKE_PROFIT,3217.47
QQQ-2026-03-26,QQQ,debit_put_spread,11,downtrend,2026-06-13T03:55:37.094369+00:00,2026-06-13T03:55:37.094608+00:00,INVALIDATION,-901.25
SPY-2026-03-31,SPY,debit_call_spread,12,trend,2026-06-13T03:55:37.094751+00:00,2026-06-13T03:55:37.095251+00:00,INVALIDATION,-942.68
QQQ-2026-03-31,QQQ,debit_call_spread,11,trend,2026-06-13T03:55:37.094800+00:00,2026-06-13T03:55:37.095783+00:00,TAKE_PROFIT,2987.80
SPY-2026-04-10,SPY,debit_put_spread,22,downtrend,2026-06-13T03:55:37.095363+00:00,2026-06-13T03:55:37.095536+00:00,INVALIDATION,-1084.45
SPY-2026-04-15,SPY,debit_call_spread,13,trend,2026-06-13T03:55:37.095650+00:00,2026-06-13T03:55:37.096778+00:00,END_OF_TEST,1908.64
SPY-2026-04-20,SPY,debit_call_spread,9,trend,2026-06-13T03:55:37.095910+00:00,2026-06-13T03:55:37.096782+00:00,END_OF_TEST,679.21
QQQ-2026-04-20,QQQ,debit_call_spread,10,trend,2026-06-13T03:55:37.095947+00:00,2026-06-13T03:55:37.096434+00:00,INVALIDATION,-1248.75
SPY-2026-04-30,SPY,debit_put_spread,18,downtrend,2026-06-13T03:55:37.096556+00:00,2026-06-13T03:55:37.096786+00:00,END_OF_TEST,-829.32
